7054	6824,7055,1979,1285,6823,7053,2917
13220	12614,12616,13219,12804,12617,12615,3859
3849	7298,13454,1728,8648,3850,1727
10877	10878,1609,1608,1448,10667,7851
8554	8552,1460,8555,12603,8553
13103	8946,8304,10468,13102,883,8305,10469
2689	2688,2686,7627,7086,3152
8995	1491,8998,1814,8997,8996
10328	5763,10329,10330,5762,5760,10331,6311
8107	1491,755,1814,8106,78
1484	1467,1458,1469,1457,1514,1508
6388	5044,6264,5723,6265,5724,5824,6387,407
10719	1491,10716,1814,10718,10717
12367	12364,12368,1814,12366,12365
11930	11929,1491,755,1814,78
13161	11752,11755,6261,11754,11756,11753
13121	3786,13122,3785,13123,13125,13124
8239	13299,13348,2241,2239,8135,2240,13349,8078
10892	5804,10800,9241,5803,10799
855	2615,2374,954,2375,7670,6766,4227,856
9097	3247,10730,1211,3245,3244,1554,1204
2115	2111,2107,2108,2112,2116,2109
1097	1096,1095,1094,1092,1098,1093
10667	10878,1609,1456,10631,10877,10632,1448,1608
13011	13009,4782,4676,4675,13010,3101
3181	1726,2947,12788,3182,9023,6743
1563	10757,9059,9051,9058,9060,9056,8515,9057
5476	5609,5038,6443,5477,5475,6445
11173	12260,1724,11172,1723,7038,1725
7120	1491,1814,7122,7823
4492	3807,3808,12674,12676,1915,4491
6149	466,6150,480,11046,3317,11047,421,3318
9290	9567,9289,12779,8600,8601,9291
11381	2207,2208,11844,11380,2206,11705
1191	1187,1192,1190,1188,1189
8490	8488,1814,8487,8489
4527	4164,4338,4528,4163,2367
6106	6409,6406,6407,4422,4421,6408,4423
6968	6976,6971,6974,6972,6978,6975,6977
3453	3479,3466,3482,3471,3473,3456,3467,3481
10418	8509,10420,1779,10417,10421,9620,10419
4914	4915,4916,3815,3813,3816,3814
13388	13385,9224,13387,9560,13386,2550
11671	1491,1814,11295,11294,78
6924	6925,9006,5386,5389,11694
1099	1096,1095,1094,1092,1098,1097,1093
10975	11195,4387,4388,8849,4389,8846
12074	12073,755,1491,1814,78
905	9593,13025,8809,2181,938,906,13304,939
11578	1491,755,1814,11579,78
5405	7677,5403,5404,3371,6866,5406,5402
6665	6655,6656,6667,6649,6647,6666,6661
4060	4228,4589,4590,4058,4061
9517	1491,1814,9405,78,9406
4643	11279,11280,11281,11278,3894,666,3895,1825,4341
3560	3479,3559,3460,3451,3478,3459,3475,3476,3483
4357	1491,1814,4358,78,4356
893	5833,3809,4883,5046,5045,2978,899,4515,4884
13545	4077,13546,4080,4079,13346,4078,6514
137	124,135,123,127,121,122,134,126,147,112
4410	4414,4413,4411,4412,4409
10040	2076,2889,2845,3260,3259,2531,1865,2843,2885,7702
10721	10972,1520,1610,10788,10722,10605,8445
6718	536,7539,1703,537,7676,10300,2394,10301
5434	1491,1814,78,5433,5432
12131	4,12538,1750,12202,2569,1200,10221
3499	3490,3557,3489,3545,3521,3537,3527,3550,3520
3538	3491,3557,3489,3554,3546,3545,3527,3550,3520
7555	7348,6930,4514,2613,401,7762,9997,402,668
3246	8696,3245,9097,8697,8695,13101
9916	9917,9918,10170,7454,9915,1240,6909,1201
2732	7834,2734,7386,3180,1963,2733,12281,7643,7413
5537	5535,882,10891,881,5536,883,10581
5118	5393,4744,5116,12717,4745,4746,5394
8757	8466,11127,8463,8193,8465,11125,8464
10616	1491,1814,10614,78,10615
8324	1491,8323,1814,8325,8326
4194	4197,4196,4193,3894,4195,4341
3	4,12538,2,2740,9891,0,3199,1,1315
3474	3452,3479,3460,3482,3471,3473,3455,3467,3481
5438	1491,755,1814,5439,78
10090	10083,10082,10084,10086,10085,10081
5500	10792,10791,6253,5499,6252
11110	11112,11111,1445,1446
12825	12824,1491,1814,78,12826
8434	8155,8302,8156,9626,8157,9625
11128	10813,10655,10657,10814,1434
4938	1491,1814,78,4936
12194	12066,3040,3039,9922,7448,1887
12652	6172,6173,7292,1356,385,10072,12651,12653,10245
9846	9814,9847,2050,9845,6775,9812,9813
2125	2131,2124,2132,2126,2127,2123,2133
7076	1491,755,1814,7075,78
6680	4253,6678,940,4254,6679,4840
10758	1456,10631,10545,1570,11115,11116
11518	1491,1814,11347,78,11348
8105	8104,2157,12903,12902,8825,8708,2156
12276	1491,755,1814,78,12277
12445	12448,12446,12449,12452,12447,12450
6274	12647,2294,4879,3784,2296,6347
